name,status,group_year,movie_id
robin,i,1995,806082
robin,i,1991,261402
robin,i,1998,891829
max,t,2005,826409
max,t,2005,1524596
max,t,2005,1424754
max,t,1983,262465
max,t,1983,598868
max,t,1983,583932
max,t,1997,724258
max,t,1997,394792
max,t,1997,204019
max,t,1969,2422489
max,t,1969,2286484
max,t,1969,2909509
max,b,2011,468229
max,b,2011,25920477
max,b,2011,27702708
max,b,1992,4728
max,b,1992,171026
max,b,1992,736222
max,i,1965,4836239
max,i,1987,673472
max,i,2009,22857151
max,i,1950,76368
max,i,2013,32784153
ivy,t,2010,23292052
ivy,t,2010,21264828
ivy,t,1992,555857
ivy,b,2000,4729
ivy,b,2000,2338401
ivy,b,2000,535969
ivy,i,2004,739286
ivy,i,2006,3936140
ivy,i,1931,11594316
ivy,i,1941,2490751
ivy,i,1998,2723452
wilson,i,2013,30951080
wilson,i,2009,15828540
wilson,i,1999,491323
wilson,i,1997,1344253
wilson,i,2005,13027958
grayson,t,2009,3071743
grayson,t,2009,4270540
grayson,t,2009,19054381
grayson,t,1992,20836034
grayson,t,1992,23658166
grayson,i,1997,4729
grayson,i,1971,4450552
grayson,i,2001,4073844
grayson,i,1948,31032524
grayson,i,1956,14268823
dick,t,1951,84213
dick,t,1951,7241082
dick,t,1951,3255424
dick,b,1935,15072401
dick,b,1935,15538307
dick,b,1935,12383140
dick,b,1945,24227175
dick,b,1945,10335706
dick,b,1945,26898249
dick,i,1980,1186616
dick,i,2000,6086631
dick,i,1987,445066
dick,i,1997,3787708
dick,i,1993,441315
meridian,i,1995,4730
chase,t,1980,534408
chase,t,1980,6068626
chase,b,1998,142457
chase,b,1998,4730
chase,b,1998,1332901
chase,b,2009,3710785
chase,b,2009,21971275
chase,b,2009,11222156
chase,i,2004,19417127
chase,i,2013,36699915
chase,i,1992,705925
chase,i,2002,5230818
chase,i,2006,5905476
eric,t,1956,5295514
eric,t,1956,5035
eric,t,1956,9465102
eric,t,1962,14285478
eric,t,1962,18917513
eric,t,1998,19479460
eric,t,1998,19715
eric,t,1998,232795
eric,t,2013,33509716
eric,t,2013,22933412
eric,t,2013,21678052
eric,t,1941,29500246
eric,b,1971,175668
eric,b,1971,12293235
eric,i,2003,234382
eric,i,2006,4126833
eric,i,1989,12232045
eric,i,2005,30865328
eric,i,2002,4200829
parks,i,2004,901421
parks,i,1941,5224
parks,i,2002,3306822
parks,i,2007,12044905
parks,i,1999,2727959
jerry,t,1930,9122309
jerry,t,1930,5018144
jerry,t,1930,10609979
jerry,t,1954,1587300
jerry,t,1954,2194915
jerry,t,1954,3782305
jerry,t,1984,482383
jerry,t,1984,1123132
jerry,t,1984,2484540
jerry,t,1978,1940533
jerry,t,1978,3374727
jerry,t,1978,8463574
jerry,t,1992,620034
jerry,t,1992,226202
jerry,t,1992,328344
jerry,b,1941,5224
jerry,b,1941,2616900
jerry,b,1941,23949922
jerry,b,1970,19278455
jerry,b,1970,7146194
jerry,b,1970,26139404
jerry,i,1996,16949337
jerry,i,2000,1602740
jerry,i,2010,30654631
jerry,i,1997,1006812
jerry,i,1959,76366
charles,t,1961,2609169
charles,t,1961,171029
charles,t,1961,1955767
charles,t,2001,3569822
charles,t,2001,1267713
charles,t,2001,1241914
charles,t,1995,1822067
charles,t,1995,1190931
charles,t,1995,11223
charles,b,1944,5224
charles,b,1944,77641
charles,b,1944,77665
charles,b,1970,3887641
charles,b,1970,1069944
charles,b,1970,217819
charles,i,2009,23410377
charles,i,2007,11611500
charles,i,2011,34275556
charles,i,2008,18737103
charles,i,1988,21472296
leland,t,2003,1726126
leland,t,2003,547378
leland,t,2003,2392280
leland,i,1941,5224
leland,i,1992,11728170
leland,i,1996,690042
leland,i,2004,3329115
leland,i,1995,4731904
mary,t,1974,36814246
mary,t,1974,6223567
mary,t,1974,7651220
mary,t,1990,129644
mary,t,1990,1962219
mary,t,1990,1233576
mary,t,2011,30265620
mary,t,2011,20926377
mary,t,2011,3427182
mary,b,1965,77856
mary,b,1965,1145761
mary,b,1965,7803431
mary,i,2004,17911663
mary,i,2002,22308889
mary,i,1946,28785543
mary,i,1941,29504548
mary,i,1982,30050474
herbert,i,1941,5224
herbert,i,1999,536009
herbert,i,1994,1486573
herbert,i,1985,18968064
herbert,i,2011,27693775
raymond,t,1960,58147
raymond,t,1960,3862631
raymond,t,1976,6953611
raymond,t,1976,724449
raymond,b,1929,6147086
raymond,b,1929,24162487
raymond,b,1969,320527
raymond,b,1969,9426697
raymond,i,2001,2887831
raymond,i,1988,129368
raymond,i,1941,5224
raymond,i,2011,31086423
raymond,i,1984,205013
susan,t,1942,5224
susan,t,1942,3990824
susan,t,1942,13257327
susan,t,1936,73376
susan,t,1936,31553889
susan,t,1936,18076983
susan,t,1977,103021
susan,t,1977,1594929
susan,t,1977,2390369
susan,t,1983,164401
susan,t,1983,528472
susan,t,1983,3066519
susan,t,1989,168597
susan,t,1989,1118829
susan,t,1989,886560
susan,b,1955,63504
susan,b,1955,3599765
susan,b,1955,12279512
susan,b,1949,14348806
susan,b,1949,14656940
susan,b,1949,15098674
susan,i,2004,19938184
susan,i,2003,1394661
susan,i,2005,8640693
susan,i,2006,6698438
susan,i,2008,20191846
foster,t,1991,5303308
foster,t,1991,1670736
foster,t,1991,4380389
foster,i,2011,31641920
foster,i,2013,32267545
foster,i,1941,5224
foster,i,2012,29165410
foster,i,2010,22967108
walter,t,1936,61508
walter,t,1936,17007116
walter,t,1936,31229030
walter,t,1961,2001498
walter,t,1961,1676837
walter,t,1961,16771910
walter,t,2012,13713239
walter,t,2012,29609480
walter,t,2012,16166559
walter,b,1943,5224
walter,b,1943,73438
walter,b,1943,74018
walter,b,1972,7754795
walter,b,1972,16875572
walter,b,1972,22423378
walter,i,1998,20668190
walter,i,1979,18951054
walter,i,2006,25997877
walter,i,1984,1195560
walter,i,2002,3050696
carter,t,2000,666923
carter,t,2000,407288
carter,t,2000,489800
carter,t,1994,1321819
carter,t,1994,171540
carter,t,1994,234731
carter,t,1988,213472
carter,t,1988,1496622
carter,t,1988,3681139
carter,b,1975,1069944
carter,b,1975,19152358
carter,b,1975,1412382
carter,i,2011,35159749
carter,i,1941,9382558
carter,i,2012,35287202
carter,i,2005,18184645
carter,i,2007,25433348
emily,t,1971,26273543
emily,t,1989,348994
emily,t,1989,1872336
emily,t,1989,29536294
emily,t,1933,1623252
emily,t,1933,60173
emily,t,1962,3954948
emily,t,1962,2229732
emily,t,1962,1888433
emily,b,2004,4597853
emily,b,2004,4902239
emily,b,2004,448735
emily,b,1998,189088
emily,b,1998,22751
emily,b,1998,1487312
emily,b,1941,5224
emily,b,1941,77685
emily,b,1941,1394722
emily,i,2011,32066330
emily,i,2008,13023421
emily,i,2007,24966098
emily,i,2010,29107564
emily,i,1979,74930
norton,i,1994,30625
norton,i,1941,5224
norton,i,2007,31434603
norton,i,2008,3119257
